Date,Open,High,Low,Close,Volume,Adjusted Close
2015-06-05,481.73999,483.029999,477.140015,479.380005,0.0,479.380005
2015-06-04,485.829987,489.399994,478.399994,485.290009,0.0,485.290009
2015-06-03,487.269989,492.769989,485.440002,487.73999,0.0,487.73999
2015-06-02,493.850006,493.850006,485.589996,486.5,0.0,486.5
2015-06-01,496.880005,498.829987,491.359985,492.25,0.0,492.25
2015-05-29,502.5,503.01001,493.48999,493.559998,0.0,493.559998
2015-05-28,503.059998,504.799988,499.859985,502.23999,0.0,502.23999
2015-05-27,496.929993,504.769989,496.679993,503.519989,0.0,503.519989
2015-05-26,500.089996,502.690002,495.0,496.350006,0.0,496.350006
2015-05-25,502.690002,503.049988,498.950012,501.140015,17128100.0,501.140015
2015-05-22,502.100006,503.209991,500.029999,501.890015,0.0,501.890015
2015-05-21,500.75,502.480011,499.51001,502.049988,0.0,502.049988
2015-05-20,499.839996,503.019989,498.470001,501.899994,0.0,501.899994
2015-05-19,493.130005,499.700012,492.940002,499.179993,0.0,499.179993
2015-05-18,491.130005,492.829987,484.23999,490.149994,0.0,490.149994
2015-05-15,492.380005,495.440002,489.079987,490.959991,0.0,490.959991
2015-05-14,484.309998,491.940002,481.059998,490.690002,0.0,490.690002
2015-05-13,490.079987,492.579987,484.850006,486.690002,0.0,486.690002
2015-05-12,490.73999,490.799988,486.019989,488.970001,0.0,488.970001
2015-05-11,491.399994,493.470001,489.410004,492.75,0.0,492.75
2015-05-08,482.380005,491.100006,481.559998,490.790009,0.0,490.790009
2015-05-07,474.839996,479.890015,469.820007,478.779999,0.0,478.779999
2015-05-06,482.290009,483.869995,476.959991,478.149994,0.0,478.149994
2015-05-05,490.48999,495.160004,482.320007,482.609985,0.0,482.609985
2015-05-04,488.23999,493.359985,484.549988,491.170013,0.0,491.170013
2015-04-30,490.029999,491.320007,484.799988,487.850006,0.0,487.850006
2015-04-29,502.25,503.670013,488.5,489.26001,0.0,489.26001
2015-04-28,507.790009,507.970001,498.329987,501.660004,0.0,501.660004
2015-04-27,504.450012,510.549988,499.160004,509.23999,0.0,509.23999
2015-04-24,504.070007,506.209991,502.619995,504.01001,0.0,504.01001
2015-04-23,504.98999,506.820007,499.269989,503.0,0.0,503.0
2015-04-22,507.549988,508.730011,502.350006,505.720001,0.0,505.720001
2015-04-21,503.410004,506.850006,501.130005,503.809998,0.0,503.809998
2015-04-20,497.279999,501.410004,496.970001,500.730011,0.0,500.730011
2015-04-17,502.980011,503.880005,493.279999,495.029999,0.0,495.029999
2015-04-16,508.220001,509.51001,503.850006,504.380005,0.0,504.380005
2015-04-15,506.480011,510.350006,505.279999,507.429993,0.0,507.429993
2015-04-14,507.630005,510.369995,503.839996,505.859985,0.0,505.859985
2015-04-13,507.5,509.640015,505.619995,508.660004,0.0,508.660004
2015-04-10,504.369995,507.190002,503.26001,507.170013,0.0,507.170013
2015-04-09,499.76001,501.970001,498.540009,501.970001,0.0,501.970001
2015-04-08,500.609985,500.869995,496.589996,497.160004,0.0,497.160004
2015-04-07,496.049988,504.179993,495.859985,503.029999,0.0,503.029999
2015-04-02,491.01001,493.140015,489.910004,492.380005,0.0,492.380005
2015-04-01,486.839996,494.799988,485.829987,490.040009,0.0,490.040009
2015-03-31,495.119995,496.269989,487.570007,489.410004,0.0,489.410004
2015-03-30,489.529999,495.029999,488.589996,494.690002,0.0,494.690002
2015-03-27,488.399994,488.600006,483.440002,485.730011,0.0,485.730011
2015-03-26,486.279999,487.480011,480.959991,486.369995,0.0,486.369995
2015-03-25,497.350006,499.679993,490.920013,491.640015,0.0,491.640015
2015-03-24,495.75,500.440002,494.98999,498.660004,0.0,498.660004
2015-03-23,499.559998,499.649994,495.320007,497.549988,0.0,497.549988
2015-03-20,497.170013,500.660004,495.450012,499.119995,0.0,499.119995
2015-03-19,497.079987,499.940002,494.700012,496.01001,0.0,496.01001
2015-03-18,495.440002,496.649994,492.309998,496.630005,0.0,496.630005
2015-03-17,498.480011,499.299988,492.700012,494.399994,0.0,494.399994
2015-03-16,493.950012,498.660004,493.950012,498.029999,0.0,498.029999
2015-03-13,493.209991,493.619995,489.320007,492.480011,0.0,492.480011
2015-03-12,492.589996,494.570007,490.910004,491.640015,0.0,491.640015
2015-03-11,484.179993,492.600006,484.049988,491.929993,0.0,491.929993
2015-03-10,486.880005,488.51001,482.130005,483.100006,0.0,483.100006
2015-03-09,487.399994,488.209991,484.76001,488.209991,0.0,488.209991
2015-03-06,488.549988,492.359985,488.070007,489.839996,0.0,489.839996
2015-03-05,484.959991,489.359985,484.829987,488.959991,0.0,488.959991
2015-03-04,481.220001,483.570007,478.799988,483.570007,0.0,483.570007
2015-03-03,486.309998,486.790009,479.549988,480.059998,0.0,480.059998
2015-03-02,484.359985,487.01001,483.369995,485.839996,0.0,485.839996
2015-02-27,482.380005,483.929993,479.929993,483.929993,0.0,483.929993
2015-02-26,478.790009,482.609985,477.899994,482.470001,0.0,482.470001
2015-02-25,479.799988,481.089996,477.059998,478.529999,0.0,478.529999
2015-02-24,476.049988,480.600006,475.75,479.940002,0.0,479.940002
2015-02-23,474.119995,475.220001,472.5,475.220001,0.0,475.220001
2015-02-20,468.980011,469.850006,466.149994,469.850006,0.0,469.850006
2015-02-19,466.929993,470.450012,465.459991,469.790009,0.0,469.790009
2015-02-18,465.880005,467.320007,465.279999,467.320007,0.0,467.320007
2015-02-17,460.179993,464.410004,457.869995,463.420013,0.0,463.420013
2015-02-16,465.140015,465.369995,462.0,462.820007,0.0,462.820007
2015-02-13,462.429993,466.059998,461.859985,464.899994,0.0,464.899994
2015-02-12,457.709991,463.790009,457.709991,460.429993,0.0,460.429993
2015-02-11,455.649994,459.059998,454.829987,458.269989,0.0,458.269989
2015-02-10,451.5,456.029999,449.540009,453.799988,0.0,453.799988
2015-02-09,451.100006,451.640015,447.23999,450.959991,0.0,450.959991
2015-02-06,455.059998,456.160004,452.959991,454.690002,0.0,454.690002
2015-02-05,450.859985,455.420013,450.140015,455.299988,0.0,455.299988
2015-02-04,456.420013,456.839996,450.790009,454.880005,0.0,454.880005
2015-02-03,453.23999,457.660004,452.779999,455.820007,0.0,455.820007
2015-02-02,450.600006,451.910004,446.440002,450.76001,0.0,450.76001
2015-01-30,454.0,454.649994,448.899994,450.390015,0.0,450.390015
2015-01-29,447.829987,453.160004,447.829987,452.470001,0.0,452.470001
2015-01-28,457.029999,457.570007,450.25,452.299988,0.0,452.299988
2015-01-27,458.339996,459.059998,451.48999,454.459991,0.0,454.459991
2015-01-26,452.619995,459.440002,452.619995,459.140015,0.0,459.140015
2015-01-23,451.019989,457.100006,450.279999,454.559998,0.0,454.559998
2015-01-22,442.040009,449.029999,440.410004,447.769989,0.0,447.769989
2015-01-21,439.98999,441.089996,435.839996,441.089996,0.0,441.089996
2015-01-20,435.970001,439.390015,435.600006,437.920013,0.0,437.920013
2015-01-19,433.839996,436.200012,432.029999,435.309998,0.0,435.309998
2015-01-16,423.369995,433.619995,422.940002,432.980011,0.0,432.980011
2015-01-15,422.600006,426.619995,411.459991,425.320007,0.0,425.320007
2015-01-14,418.440002,425.299988,416.869995,418.329987,0.0,418.329987
2015-01-13,415.76001,424.709991,414.820007,423.790009,0.0,423.790009
2015-01-12,417.049988,421.5,413.630005,418.410004,0.0,418.410004
2015-01-09,422.410004,424.230011,412.76001,415.589996,0.0,415.589996
2015-01-08,416.600006,424.140015,415.440002,423.070007,0.0,423.070007
2015-01-07,411.01001,413.959991,408.600006,411.209991,0.0,411.209991
2015-01-06,411.670013,414.619995,406.299988,408.429993,0.0,408.429993
2015-01-05,420.059998,424.579987,410.48999,410.940002,0.0,410.940002
2015-01-02,425.890015,428.089996,420.350006,422.279999,0.0,422.279999
2014-12-31,422.839996,424.700012,422.269989,424.470001,0.0,424.470001
2014-12-30,425.130005,425.130005,421.559998,421.589996,0.0,421.589996
2014-12-29,427.390015,428.320007,422.859985,426.890015,0.0,426.890015
2014-12-24,425.970001,427.440002,425.329987,425.570007,0.0,425.570007
2014-12-23,423.040009,426.769989,422.640015,426.769989,0.0,426.769989
2014-12-22,419.76001,424.079987,419.76001,421.579987,0.0,421.579987
2014-12-19,420.660004,421.350006,414.390015,418.369995,0.0,418.369995
2014-12-18,410.089996,416.559998,407.970001,416.440002,128151200.0,416.440002
2014-12-17,399.160004,404.529999,397.089996,403.459991,107624500.0,403.459991
2014-12-16,397.660004,404.170013,389.309998,403.790009,177484100.0,403.790009
2014-12-15,405.209991,408.890015,395.609985,396.089996,106704700.0,396.089996
2014-12-12,413.660004,414.350006,405.630005,406.170013,100317800.0,406.170013
2014-12-11,415.350006,418.519989,413.890015,416.769989,82329000.0,416.769989
2014-12-10,419.309998,421.390015,415.640015,416.709991,89327900.0,416.709991
2014-12-09,423.309998,424.369995,418.160004,418.429993,99858400.0,418.429993
2014-12-08,429.649994,430.619995,427.269989,427.269989,60126800.0,427.269989
2014-12-05,426.730011,431.220001,426.690002,431.059998,80066600.0,431.059998
2014-12-04,430.25,432.220001,422.859985,423.679993,106427900.0,423.679993
2014-12-03,428.529999,429.929993,428.290009,428.609985,70375300.0,428.609985
2014-12-02,424.859985,428.839996,424.640015,428.480011,88318800.0,428.480011
2014-12-01,422.820007,424.450012,421.609985,423.470001,75867000.0,423.470001
2014-11-28,425.559998,426.019989,422.970001,425.859985,85080500.0,425.859985
2014-11-27,425.089996,426.98999,425.040009,425.75,73926900.0,425.75
2014-11-26,424.019989,425.480011,423.5,423.970001,60791800.0,423.970001
2014-11-25,423.130005,425.75,421.660004,423.179993,100857900.0,423.179993
2014-11-24,423.609985,425.839996,422.320007,422.910004,90747100.0,422.910004
2014-11-21,417.890015,424.730011,417.299988,423.459991,141684200.0,423.459991
2014-11-20,417.98999,418.329987,414.369995,416.809998,87192300.0,416.809998
2014-11-19,416.980011,419.440002,416.130005,417.790009,75945100.0,417.790009
2014-11-18,414.390015,417.809998,413.809998,417.160004,76088700.0,417.160004
2014-11-17,408.829987,414.799988,408.609985,414.070007,72971700.0,414.070007
2014-11-14,412.559998,412.559998,408.98999,411.970001,75836800.0,411.970001
2014-11-13,412.769989,413.829987,408.869995,411.410004,110072300.0,411.410004
2014-11-12,413.929993,415.619995,411.140015,411.929993,98544100.0,411.929993
