06-04-2015,16:00
06-01-2015,15:34
06-01-2015,15:13
05-28-2015,10:47
05-28-2015,10:40
05-27-2015,11:11
05-22-2015,16:13
05-21-2015,14:13
05-19-2015,15:09
05-18-2015,15:44
05-11-2015,18:46
05-08-2015,07:57
05-07-2015,15:31
05-07-2015,07:45
05-06-2015,08:13
05-05-2015,08:51
05-05-2015,08:18
05-04-2015,08:00
05-01-2015,08:01
04-30-2015,12:03
04-30-2015,07:49
04-30-2015,07:27
04-29-2015,07:48
04-28-2015,07:46
04-24-2015,08:00
04-23-2015,07:45
04-22-2015,15:11
04-22-2015,07:54
04-21-2015,07:30
04-20-2015,07:34
04-20-2015,07:19
04-17-2015,15:34
04-16-2015,11:10
04-16-2015,09:14
04-12-2015,11:29
04-12-2015,11:11
04-02-2015,09:52
04-02-2015,09:36
04-01-2015,10:23
03-20-2015,15:11
03-17-2015,15:26
03-15-2015,12:27
03-15-2015,11:23
03-14-2015,12:35
03-12-2015,10:53
03-10-2015,14:51
03-09-2015,13:04
03-05-2015,09:52
03-02-2015,15:41
02-20-2015,09:45
02-13-2015,10:02
02-12-2015,10:32
02-12-2015,08:27
02-11-2015,10:59
02-11-2015,10:45
02-02-2015,15:08
01-30-2015,13:17
01-27-2015,15:08
01-27-2015,11:14
01-26-2015,15:37
01-26-2015,10:28
01-23-2015,16:32
01-22-2015,13:19
01-21-2015,11:25
01-20-2015,13:52
01-16-2015,16:14
01-16-2015,09:23
01-15-2015,15:29
01-15-2015,10:18
01-14-2015,10:03
01-13-2015,09:43
01-13-2015,09:43
01-12-2015,15:25
01-12-2015,11:46
01-09-2015,11:38
01-07-2015,11:33
01-06-2015,11:08
01-01-2015,11:50
12-31-2014,19:26
12-23-2014,15:52
12-22-2014,14:57
12-22-2014,11:23
12-19-2014,10:18
12-18-2014,09:59
12-17-2014,13:15
12-05-2014,14:55
12-04-2014,09:06
12-01-2014,15:50
11-28-2014,09:14
11-25-2014,15:23
11-21-2014,11:00
11-20-2014,11:13
11-18-2014,15:30
11-17-2014,14:41
11-14-2014,15:20
11-13-2014,12:09
